source	Destination	Price	total cost
Washington, DC	Portland, OR	2981	
Washington, DC	Seattle, WA	2915	
Washington, DC	Denver, CO	1960	
Washington, DC	San Jose, CA	1833	
Washington, DC	San Francisco, CA	1787	
Washington, DC	Fresno, CA	1781	
Washington, DC	San Diego, CA	1736	
Washington, DC	Los Angeles, CA	1724	
Washington, DC	Las Vegas, NV	1625	
Washington, DC	Tucson, AZ	1548	
Washington, DC	Phoenix, AZ	1538	
Washington, DC	El Paso, TX	1406	
Washington, DC	Albuquerque, NM	1364	
Washington, DC	Jacksonville, FL	1234	
Washington, DC	San Antonio, TX	1099	
Washington, DC	Austin, TX	1063	
Washington, DC	Memphis, TN	1029	
Washington, DC	Houston, TX	1009	
Washington, DC	Fort Worth, TX	986	
Washington, DC	Dallas, TX	971	
Washington, DC	Oklahoma City, OK	962	
Washington, DC	Nashville, TN	848	
Washington, DC	Louisville, KY	625	
Washington, DC	Indianapolis, IN	615	
Washington, DC	Charlotte, NC	576	
Washington, DC	Detroit, MI	572	
Washington, DC	Milwaukee, WI	549	
Washington, DC	Columbus, OH	437	
Washington, DC	Boston, MA	370	
Washington, DC	Chicago, IL	326	
Washington, DC	New York, NY	219	
Washington, DC	Philadelphia, PA	139	
Washington, DC	Baltimore, MD	74	37901
Tucson, AZ	Seattle, WA	1554	
Tucson, AZ	Boston, MA	1495	
Tucson, AZ	Portland, OR	1494	
Tucson, AZ	New York, NY	1403	
Tucson, AZ	Philadelphia, PA	1382	
Tucson, AZ	Detroit, MI	1376	
Tucson, AZ	Columbus, OH	1362	
Tucson, AZ	Baltimore, MD	1334	
Tucson, AZ	Washington, DC	1319	
Tucson, AZ	Louisville, KY	1291	
Tucson, AZ	Milwaukee, WI	1254	
Tucson, AZ	Indianapolis, IN	1248	
Tucson, AZ	Chicago, IL	1221	
Tucson, AZ	Nashville, TN	1208	
Tucson, AZ	Charlotte, NC	1198	
Tucson, AZ	Jacksonville, FL	1180	
Tucson, AZ	Memphis, TN	1091	
Tucson, AZ	Houston, TX	860	
Tucson, AZ	Oklahoma City, OK	822	
Tucson, AZ	Dallas, TX	804	
Tucson, AZ	Fort Worth, TX	789	
Tucson, AZ	Austin, TX	776	
Tucson, AZ	San Antonio, TX	764	
Tucson, AZ	Denver, CO	751	
Tucson, AZ	San Francisco, CA	482	
Tucson, AZ	San Jose, CA	468	
Tucson, AZ	Fresno, CA	418	
Tucson, AZ	Las Vegas, NV	365	
Tucson, AZ	Los Angeles, CA	344	
Tucson, AZ	Albuquerque, NM	327	
Tucson, AZ	San Diego, CA	304	
Tucson, AZ	El Paso, TX	252	
Tucson, AZ	Phoenix, AZ	111	31047
Seattle, WA	Boston, MA	1141	
Seattle, WA	Jacksonville, FL	1135	
Seattle, WA	New York, NY	1085	
Seattle, WA	Charlotte, NC	1084	
